stop_id,stop_name,zone_id,stop_lat,stop_lon,stop_desc
TZjYc9wD,Vijaya Hospital-Nagaram,Vijaya Hospital-Nagaram,17.482324458452,78.5949365394669,VIJAYA HOSP twd Ecil
Ag0TpmOp,Sv Nagar,Sv Nagar,17.4807008495207,78.5911676537658,SV NAGAR twd Secunderabad
ZGCH1dKv,Chakripuram,Chakripuram,17.4794767642289,78.5853606462478,CHAKRIPURAM twd Nagaram
jdvB3Gdx,Dammaiguda Cross Road,Dammaiguda Cross Road,17.4898671200754,78.6015745997428,DAMMAIGUDA X Road twd Rampally
bvOikYgX,Ayyappa Colony,Ayyappa Colony,17.494,78.597,AYYAPPA COLONY twd BalajiNagar
9lo4UeiJ,Beerapagadda,Beerapagadda,17.4059359299481,78.5639391839504,BEERAPPAGADDA twd Ecil
cGWFArDm,Ganesh Nagar Church,Ganesh Nagar Church,17.4109151532189,78.5643804073333,GANESH NAGAR CHURCH twd ECIL
fFaQHoF0,Adarshnagar Uppal,Adarshnagar Uppal,17.4137815681949,78.5650563240051,ADARSH NAGAR twd Uppal
lHPvnE32,Hema Nagar-Uppal,Hema Nagar-Uppal,17.421,78.564,HEMA NAGAR twd Kushaiguda
ki05OEh0,Post Office-Nacharam,Post Office-Nacharam,17.431,78.559,POST OFFICE twd Kushaiguda
D6hCS0ep,Hema Nagar-Uppal,Hema Nagar-Uppal,17.4212008710938,78.5644099396332,HEMANAGAR twd Uppal
tFiy24uk,Ganesh Nagar Church,Ganesh Nagar Church,17.4109125938997,78.5644447803497,CHURCH twd Uppal
dfCxpNyn,Beerapagadda,Beerapagadda,17.4059084165153,78.5640162974596,BEERAPPAGADDA twd Uppal
80dBZEhn,Adarshnagar Uppal,Adarshnagar Uppal,17.41400934213,78.5649034315028,ADARSH NAGAR twd Kushaiguda
lBadZuhS,Sheep Farm,Sheep Farm,17.2571023770316,78.4753245921317,SHEEP FARM twd Koti
cYih8QXM,Fci Colony,Fci Colony,17.3325729782185,78.5615426297134,FCI Colony twd ChintalKunta Check Post
FDm92bZz,Jahangir Nagar Colony,Jahangir Nagar Colony,17.3397381621289,78.5570177708088,JAHANGIR Nagar twd ChintalKunta Check Post
lyYMjoIV,Vivekananda Nagar Clny,Vivekananda Nagar Clny,17.4936440981826,78.4104296316123,VIVEKANANDA NAGAR COLONY twd Jagathgirigutta
Um4jMF5q,Allwyn Colony,Allwyn Colony,17.5019990473205,78.4188893437385,ALLWYN Colony Phase 1 twd Jagathgiri Gutta
2B7S5lGF,Jagadgiri Gutta,Jagadgiri Gutta,17.50204094,78.42614204,JAGADGIRIGUTTA Bus Station
GtmJe15u,Allwyn Colony,Allwyn Colony,17.5019920127102,78.4189289063215,ALLWYN Colony Phase 1 twd Kukatpally
cz8agNef,Vivekananda Nagar Clny,Vivekananda Nagar Clny,17.4936084822238,78.4105798599242,VIVEKANANDA Nagar Colony twd Kukatpally
EIEQroOV,Sumithra Nagar-Kukatpally,Sumithra Nagar-Kukatpally,17.489,78.409,SUMITHRA NAGAR twd Kukatpally
xw8rYt7c,Lb Nagar,Lb Nagar,17.3493884051099,78.5530492715971,LB NAGAR PUSHPAK BUS STOP  twd Secunderabad
x2ZgbKAy,Darga,Darga,17.4119030296672,78.3950311024471,DARGA twd OU colony
kKjN6CpO,Ou Colony,Ou Colony,17.4068387496555,78.3919854462924,OU COLONY twd Manikonda
nI0WwhLc,Panchavati Colony  Manikonda,Panchavati Colony  Manikonda,17.4073461477912,78.3875289559364,PANCHAVATI Colony twd Manikonda
YhwcYGzC,Manikonda,Manikonda,17.406250900428,78.3762257811903,MANIKONDA twd Lanco hills
leMXHA9b,Manikonda,Manikonda,17.4062924904204,78.3762720492947,MANIKONDA twd Darga
7qbKgvw5,Panchavati Colony  Manikonda,Panchavati Colony  Manikonda,17.4073922164301,78.3875222504138,PANCHAVATI Colony twd Darga
jj4Bzhr4,Ou Colony,Ou Colony,17.4068598705729,78.391972033536,OU COLONY twd Mehdipatnam
PCA4atoR,Irvin,Irvin,16.7907201278453,78.7055826243534,IRWIN twd Ibrahimpatnam
pDKE4WOc,Chandryanplly,Chandryanplly,16.8192070179294,78.6327874183758,CHANDRAYANPALLI twd Irwin
PX1F5vK7,Jangareddy Pally-Amangal,Jangareddy Pally-Amangal,16.8470155626475,78.5571492034135,JANGAREDDY Pally twd Girikothapally
0481ggli,Pahadi Shareef,Pahadi Shareef,17.2724122182455,78.4731272600183,PAHADI Shareef twd Mamidipalli
SAwLUJiF,Mamidipally,Mamidipally,17.2493507514698,78.4509873525217,MAMIDIPALLY twd Shamshabad
7jisLozx,Mamidipally,Mamidipally,17.25,78.451,MAMIDIPALLY twd Charminar
w6P4lO4H,Pahadi Shareef,Pahadi Shareef,17.2723946807485,78.4730873916268,PAHADI Shareef twd Charminar
Q29TmrgC,Md Lines,Md Lines,17.3920059251635,78.4171217659812,MD Lines twd Mithidarwaza
sUPv3Ber,Moti Darwaza,Moti Darwaza,17.3847312945646,78.4104453559307,MOTI Darwaza
Cax6moVc,Md Lines,Md Lines,17.3920647955836,78.4170949443732,MD LINES twd Mehdipatnam
nvfpwi8t,Lakdikapool,Lakdikapool,17.4038026730841,78.4648463132598,LAKDIKAPOOL Pushpak twd RGIA
AD4tQwDM,Tumbai Tanda,Tumbai Tanda,17.197989399326,78.8261693716049,TUMBAI TANDA twd Allapuram
y1LZ3LBS,Allapur-Choutuppal,Allapur-Choutuppal,17.2129013046361,78.8308793303239,ALLAPURAM twd Narayanapuram
yXOkYBup,Yenuganti Thanda,Yenuganti Thanda,17.1963930995451,78.8433355069768,YENUGANTI THANDA twd Narayanapuram
8OYaMcF6,Venkambai Thanda,Venkambai Thanda,17.1754450520235,78.8543915748596,VENKAMBAI THANDA twd Narayanapuram
T6HVQAqx,Narayanapur-Choutuppal,Narayanapur-Choutuppal,17.1619961321457,78.8820827048403,NARAYANAPURAM twd Munugodu
kCWjhF8P,Venkambai Thanda,Venkambai Thanda,17.1755424306427,78.8542574644089,VENKAMBAVI THANDA twd Allapuram
7T6JEgwY,Yenuganti Thanda,Yenuganti Thanda,17.1963008605301,78.8433998826673,YENUGANTI THANDA twd Allapuram
9rvKp2Mj,Allapur-Choutuppal,Allapur-Choutuppal,17.2129038881405,78.8304314247558,ALLAPURAM twd Arutla
RhnPIEYO,Ymca Secunderabad,Ymca Secunderabad,17.4419442300586,78.4987789520049,YMCA BUS STOP twd Secunderabad  Railway Station
FdyFfsEO,Gandi Mysamma Temple-Abdullahpurmet,Gandi Mysamma Temple-Abdullahpurmet,17.3149116428801,78.6746433269333,GANDIMAISAMMA Temple twd Jnurm
BzwQZImZ,Jnnurm Colony,Jnnurm Colony,17.3187513471979,78.6762231588363,JUNURM Colony twd Mettu
Kdc8bpKV,Ravirala,Ravirala,17.2159501389632,78.5103875398636,RAVIRYAL twd Charminar
BXKvQMZ4,Sirigiripur,Sirigiripur,17.1541716776483,78.4369379290752,SIRIGIRIPUR VILL twd Maheshwaram
CRi46Z1q,Ravirala,Ravirala,17.2160884888196,78.5104143619537,RAVIRYAL twd Kongarakal
MZVEsSUj,Cherlapally Water Tank,Cherlapally Water Tank,17.4711656551079,78.5969558358192,WATER TANK twd Kushaiguda
F3HtXuw9,Pbel City,Pbel City,17.3597289733,78.3713515175,PBEL CITY
RMORXxyb,Sai Brundavanamam,Sai Brundavanamam,17.3422152493972,78.7353819546439,SAI Brundavanam twd Pillaipally
rkHbcEw9,Sai Brundavanamam,Sai Brundavanamam,17.342,78.727,SAIBRUNDAVANAM DESHMUKHI
oyFF3ZhB,Sai Brundavanamam,Sai Brundavanamam,17.3422818166559,78.7355160681632,SAI Brundavanam twd Batasingaram
0REzgIJm,Khader Bhai Hotel-Moinabad,Khader Bhai Hotel-Moinabad,17.3260002821674,78.2741814851761,KHADER BHAI HOTEL twd Sriram Nagar
vxUtYSKg,Poultry Farm-Moinabad,Poultry Farm-Moinabad,17.309015667068,78.273446559906,POULTRY FARM twd Surangal
UARFi84D,Surangal Quarters,Surangal Quarters,17.306874835801,78.2740420103073,SURANGAL QUARTERS twd Sriram Nagar
U1pUh7vt,Surangal,Surangal,17.2978376292768,78.273261487484,SURANGAL twd Sriram Nagar
iWdUGKG2,Surangal,Surangal,17.2978325058244,78.2731917500496,SURANGAL twd Moinabad
4s2gK9P3,Surangal Quarters,Surangal Quarters,17.3068722667488,78.2739776372909,SURANGAL-QUARTERS twd Moinabad
nbWrb0un,Poultry Farm-Moinabad,Poultry Farm-Moinabad,17.3090848294575,78.2733821868896,POULTRY FARM twd Moinabad
QOQJbvGy,Khader Bhai Hotel-Moinabad,Khader Bhai Hotel-Moinabad,17.3260310181693,78.2741546630859,KHADER BHAI HOTEL twd Moinabad
COQ1RKjd,Sri Ram Nagar-Moinabad,Sri Ram Nagar-Moinabad,17.2673324042548,78.2557654380798,SRIRAM NAGAR Village
uTMzTBaz,Pc Tanda,Pc Tanda,17.1313894358221,78.7953921865406,P C TANDA
EkGOcv1l,Narsinghi,Narsinghi,17.385388,78.354832,NARSING twd Gar
